Agent_ID,Is_Alive,Trade_Count,Attack_Count,Ignore_Count,Num_Movements
1,True,544,527,541,3
2,True,1,1,0,0
3,False,1060,1070,1054,2
4,False,1099,1022,1058,1
5,True,7,13,10,1
6,False,510,568,510,1
7,False,1060,1077,1046,2
8,False,1036,1087,1061,2
9,True,2,3,4,1
10,True,0,0,0,0
11,False,511,545,530,1
12,False,548,535,506,1
13,False,547,525,514,1
14,False,1071,1068,1045,2
15,True,1,1,0,0
16,False,1103,1063,1017,1
17,True,13,14,14,1
18,True,1,1,0,0
19,False,1052,1040,1092,1
20,True,0,0,0,0
21,True,9,13,13,2
22,False,10,11,10,2
23,False,1031,1042,1110,1
24,False,1071,1060,1053,2
25,False,495,550,536,1
26,False,1104,1045,1036,2
27,True,0,0,0,0
28,True,0,0,0,0
29,True,8,9,11,2
30,True,0,0,0,0
31,True,5,5,6,2
32,False,537,515,528,1
33,False,542,525,516,1
34,True,0,0,0,0
35,True,507,525,548,1
36,True,0,0,0,0
37,False,1050,1094,1044,1
38,False,12,13,14,2
39,False,1036,1039,1114,2
40,False,1078,1018,1091,1
41,True,0,0,0,0
42,True,11,10,9,2
43,True,0,0,0,0
44,False,3,4,2,1
45,False,1055,1078,1054,1
46,False,1048,1079,1061,1
47,False,512,505,558,1
48,False,552,500,523,1
49,True,0,0,0,0
50,False,507,553,515,1
51,False,1068,1062,1060,1
52,True,0,0,0,0
53,True,0,0,0,0
54,False,1049,1082,1063,2
55,True,1,2,0,1
56,True,18,6,14,1
57,False,9,14,11,1
58,True,0,0,0,0
59,False,990,1084,1116,2
60,False,1021,1095,1074,1
61,True,11,10,13,2
62,False,1019,1076,1095,1
63,True,1,0,1,0
64,True,0,1,1,0
65,False,523,534,513,1
66,False,997,1071,1124,1
67,False,1043,1110,1038,1
68,False,1049,1034,1108,1
69,False,523,524,523,1
70,False,1080,1038,1074,1
71,False,1071,1022,1105,2
72,False,1027,1076,1089,1
73,True,0,0,0,0
74,False,532,513,519,1
75,True,534,540,492,1
76,True,0,0,0,0
77,True,2,3,1,0
78,True,0,0,0,0
79,True,7,7,4,1
80,False,523,528,513,1
81,False,533,496,535,1
82,False,1061,1066,1069,1
83,True,1,1,2,1
84,True,1096,1034,1066,1
85,True,11,12,14,1
86,True,1,1,0,0
87,True,0,0,0,0
88,True,0,0,0,0
89,True,0,0,0,0
90,True,0,0,0,0
91,False,15,16,15,1
92,False,561,486,515,1
93,True,0,2,0,0
94,True,8,0,6,1
95,False,13,18,16,2
96,False,1042,1105,1050,1
97,True,0,0,0,0
98,False,1013,1089,1095,1
99,True,0,0,0,0
100,False,1050,1077,1070,1
101,False,1065,1072,1060,1
102,True,522,506,530,1
103,False,4,6,4,1
104,True,4,5,7,1
105,False,1066,1065,1067,1
106,True,10,15,10,2
107,False,7,6,3,1
108,False,1062,1083,1053,1
109,True,0,0,0,0
110,False,1043,1091,1064,1
111,True,2,6,3,1
112,False,1061,1068,1069,1
113,False,1080,1063,1055,1
114,False,7,13,9,2
115,True,17,7,19,2
116,False,539,513,501,1
117,True,7,8,13,1
118,True,0,0,0,0
119,True,0,0,0,0
120,False,1050,1101,1048,1
121,False,1094,1046,1059,1
122,True,0,0,0,0
123,False,1119,1048,1033,2
124,True,0,0,0,0
125,False,1089,1043,1068,1
126,True,16,13,18,1
127,True,0,0,0,0
128,False,558,501,490,1
129,True,6,8,10,1
130,True,0,0,0,1
131,False,4,9,6,1
132,True,0,0,0,0
133,True,0,0,0,0
134,True,0,0,0,2
135,False,1045,1076,1079,1
136,True,0,0,0,0
137,False,1079,1048,1073,1
138,True,0,0,0,0
139,True,16,8,10,1
140,True,8,2,8,1
141,False,498,519,530,1
142,True,1,2,1,0
143,True,0,0,0,0
144,True,548,510,491,1
145,True,7,9,11,1
146,True,0,0,0,0
147,False,1059,1085,1058,1
148,True,0,0,0,0
149,False,4,6,4,1
150,True,0,0,0,0
151,False,499,529,518,1
152,True,0,0,0,0
153,True,0,0,0,0
154,True,0,0,0,0
155,False,1071,1080,1052,1
156,False,530,499,516,1
157,True,15,6,21,2
158,False,1065,1063,1076,2
159,False,525,504,515,1
160,True,0,0,0,0
161,True,541,497,506,1
162,False,1097,1038,1071,1
163,True,0,0,0,0
164,False,1087,1058,1061,1
165,True,6,5,7,1
166,True,1,1,7,1
167,True,0,0,0,0
168,True,0,0,0,0
169,True,7,9,7,1
170,False,1063,1055,1088,1
171,True,0,0,0,0
172,False,1090,1040,1076,1
173,True,7,6,9,2
174,True,5,3,5,1
175,False,1048,1097,1061,1
176,False,1071,1053,1082,1
177,True,525,513,500,1
178,True,0,0,0,0
179,True,6,8,9,2
180,True,0,0,0,0
181,True,488,538,512,1
182,False,1025,1101,1082,1
183,False,1106,1073,1029,1
184,True,9,7,16,1
185,False,1096,1064,1048,1
186,True,16,8,15,2
187,True,0,0,0,2
188,True,3,2,0,2
189,False,507,485,543,1
190,False,1100,1068,1041,1
191,True,15,7,13,2
192,False,520,486,528,1
193,True,11,13,10,1
194,False,1059,1079,1073,1
195,False,1039,1090,1081,1
196,False,1106,1043,1061,1
197,False,1067,1089,1055,1
198,False,1027,1080,1103,1
199,True,0,0,0,0
200,True,0,1,1,0
201,False,1088,1085,1040,1
202,True,7,3,6,1
203,True,0,0,0,0
204,True,5,3,7,1
205,False,474,509,545,1
206,True,0,0,0,0
207,True,4,7,12,2
208,True,0,0,0,1
209,True,0,0,0,1
210,True,7,2,7,1
211,False,1045,1088,1078,1
212,True,504,500,526,1
213,True,2,0,4,0
214,False,1088,1051,1074,1
215,True,10,7,13,1
216,False,12,10,10,2
217,False,1078,1041,1093,1
218,True,4,3,4,1
219,False,554,464,507,1
220,True,0,0,0,0
221,True,12,11,10,1
222,True,0,0,0,0
223,False,1061,1078,1074,1
224,False,1055,1086,1072,1
225,True,0,0,0,0
226,False,17,15,12,1
227,True,0,0,0,0
228,False,1067,1080,1067,1
229,False,1068,1109,1036,1
230,True,6,6,5,1
231,True,8,2,7,1
232,False,1126,1029,1058,1
233,True,494,512,516,1
234,False,1004,1125,1085,2
235,True,523,510,486,1
236,False,509,502,508,1
237,False,507,543,475,1
238,True,2,6,4,1
239,False,1078,1052,1088,1
240,True,513,497,508,1
241,True,0,0,0,0
242,True,0,0,0,0
243,True,0,0,0,0
244,False,1066,1080,1072,1
245,True,7,11,7,1
246,False,1064,1086,1068,1
247,True,0,0,0,0
248,True,14,6,6,1
249,True,0,0,0,0
250,True,0,0,0,0
251,True,531,495,490,1
252,False,1027,1106,1086,1
253,False,1023,1130,1066,1
254,True,3,3,2,0
255,False,1102,1042,1075,1
256,False,1066,1105,1048,1
257,True,0,0,0,0
258,False,3,9,2,1
259,True,496,469,547,1
260,False,519,488,507,1
261,False,1064,1046,1111,1
262,True,14,12,12,2
263,True,10,8,9,2
264,True,6,6,19,2
265,True,468,541,502,1
266,False,1062,1069,1091,1
267,True,500,507,503,1
268,True,500,511,499,1
269,False,475,547,488,1
270,True,0,0,0,0
271,False,6,11,11,1
272,True,500,517,493,1
273,True,0,0,0,0
274,True,4,5,6,1
275,True,0,0,0,0
276,True,0,0,0,0
277,False,11,12,15,1
278,True,16,7,12,1
279,False,488,469,553,1
280,False,1061,1074,1092,1
281,False,1079,1075,1074,1
282,True,0,0,0,0
283,True,1,1,2,0
284,True,1,0,1,0
285,True,2,1,0,0
286,False,1072,1081,1074,1
287,True,0,1,0,1
288,True,0,0,0,0
289,False,1055,1062,1115,1
290,True,1,1,0,0
291,True,0,0,0,0
292,True,10,7,3,1
293,False,1105,1088,1034,1
294,True,5,3,4,1
295,True,14,14,15,2
296,False,1067,1037,1127,1
297,True,524,479,501,1
298,False,11,13,14,1
299,True,0,0,0,1
300,True,0,0,0,0
301,False,1131,1066,1031,1
302,True,0,0,0,0
303,True,0,0,0,0
304,True,0,0,0,0
305,True,4,16,10,2
306,True,6,4,6,1
307,False,1080,1068,1081,1
308,True,538,482,482,1
309,True,14,11,13,2
310,True,469,493,540,1
311,False,1122,1061,1047,1
312,False,1061,1097,1072,1
313,False,1096,1074,1060,1
314,True,6,5,6,1
315,True,0,0,0,0
316,True,3,8,5,1
317,True,0,0,0,0
318,True,8,6,3,1
319,False,3,6,6,1
320,True,5,4,6,1
321,False,19,17,15,2
322,True,17,10,12,1
323,False,1051,1098,1081,1
324,False,1066,1109,1055,1
325,True,4,1,1,0
326,True,6,11,7,1
327,True,506,495,496,1
328,True,506,509,482,1
329,False,1083,1103,1046,1
330,False,1073,1102,1057,1
331,True,9,4,2,1
332,True,0,0,0,0
333,False,531,480,486,1
334,True,6,6,4,1
335,False,1098,1027,1108,1
336,True,0,0,0,0
337,True,461,521,515,1
338,True,524,443,529,1
339,False,1072,1067,1096,1
340,False,1092,1104,1039,1
341,False,496,519,477,1
342,False,13,16,11,2
343,True,509,484,501,1
344,False,1058,1115,1070,1
345,True,9,5,13,1
346,False,1123,1058,1056,1
347,True,0,0,0,0
348,False,1096,1067,1074,1
349,True,510,515,464,1
350,True,0,0,0,0
351,False,1039,1074,1125,1
352,True,0,0,0,0
353,True,546,452,492,1
354,True,496,490,502,1
355,False,1091,1098,1051,1
356,True,0,0,0,0
357,True,1,1,0,0
358,False,1051,1069,1120,1
359,False,1113,1041,1086,1
360,False,1092,1047,1101,1
361,False,1061,1111,1068,1
362,False,1125,1011,1104,1
363,True,16,11,6,1
364,True,11,15,23,1
365,False,12,7,6,2
366,False,1082,1059,1099,1
367,True,0,0,0,0
368,True,487,523,471,1
369,True,0,0,0,0
370,True,1065,1042,1134,2
371,True,0,0,0,0
372,False,1083,1104,1054,1
373,True,0,0,0,0
374,True,457,491,531,1
375,True,2,6,8,1
376,False,1084,1069,1090,1
377,False,1098,1130,1014,1
378,True,6,13,9,1
379,True,481,481,517,1
380,True,7,7,5,1
381,False,1079,1081,1083,1
382,True,485,514,479,1
383,False,1056,1073,1115,1
384,False,519,495,461,1
385,True,475,520,483,1
386,True,1,0,1,0
387,False,1123,1096,1027,2
388,False,1126,1053,1067,1
389,True,477,487,509,1
390,True,457,484,532,1
391,True,477,511,485,1
392,True,18,10,13,1
393,True,6,2,5,1
394,True,480,498,497,1
395,True,6,6,3,1
396,True,0,0,0,2
397,True,491,506,478,1
398,False,8,6,4,1
399,False,1027,1118,1106,1
400,True,496,503,476,1
401,False,1127,1061,1065,1
402,False,1065,1083,1104,1
403,False,1101,1072,1079,1
404,True,476,490,503,1
405,False,1136,1036,1081,1
406,True,0,0,0,0
407,False,1133,1083,1037,1
408,False,1137,1098,1018,1
409,True,0,0,0,1
410,False,1074,1097,1082,1
411,False,1027,1132,1094,1
412,True,510,493,461,1
413,False,1059,1121,1075,1
414,True,0,0,0,1
415,False,1101,1060,1093,1
416,False,507,471,484,1
417,False,5,10,5,2
418,True,0,0,0,0
419,True,1,0,0,1
420,True,0,0,0,0
421,True,0,0,0,0
422,True,0,0,0,0
423,True,521,457,484,1
424,False,1053,1112,1091,1
425,True,0,0,0,2
426,False,1065,1074,1117,1
427,True,0,0,0,0
428,False,1130,1080,1046,1
429,False,16,19,10,2
430,True,519,469,471,1
431,True,7,4,6,1
432,True,0,0,0,0
433,False,11,14,11,1
434,True,0,0,0,0
435,True,2,2,0,0
436,True,13,9,10,1
437,False,1086,1096,1075,1
438,False,489,487,483,1
439,False,1092,1056,1110,1
440,True,451,506,500,1
441,False,1050,1068,1142,1
442,False,1044,1107,1108,1
443,True,0,0,0,0
444,True,536,453,466,1
445,True,0,0,0,0
446,False,9,14,8,2
447,True,511,467,477,1
448,False,1078,1083,1100,1
449,False,1064,1105,1094,1
450,False,1057,1114,1090,1
451,True,0,0,0,0
452,True,18,12,13,2
453,False,1100,1090,1071,1
454,True,0,0,0,0
455,True,483,485,484,1
456,True,4,5,8,1
457,True,503,488,466,1
458,True,11,4,3,1
459,True,496,475,480,1
460,True,1,0,1,2
461,False,1055,1139,1070,1
462,False,1108,1045,1111,1
463,True,0,0,0,0
464,True,7,4,5,1
465,False,1083,1092,1089,1
466,True,14,13,13,2
467,False,1065,1103,1096,1
468,True,0,0,0,0
469,False,1074,1058,1132,1
470,True,0,0,0,0
471,False,1125,1082,1057,1
472,True,13,14,13,2
